building_name,link,address,coordinates,year_built,total_stories,total_units
705 East 133rd Street,https://streeteasy.com/building/705-east-133-street-bronx,,"40.80196831,-73.91539666",1901.0,2.0,2.0
695 East 132nd Street,https://streeteasy.com/building/695-east-132-street-bronx,,"40.8015051,-73.91629301",1931.0,4.0,
43 Locust Avenue,https://streeteasy.com/building/43-locust-avenue-bronx,,"40.79880142,-73.91059875",,,
3 Rose Feiss Boulevard,https://streeteasy.com/building/3-rose-feiss-boulevard-bronx,,"40.79930115,-73.91200256",,,
4 Rose Feiss Boulevard,https://streeteasy.com/building/4-rose-feiss-boulevard-bronx,,"40.79930115,-73.91200256",,,
129 Rose Feiss Boulevard,https://streeteasy.com/building/129-rose-feiss-boulevard-bronx,,"40.80039978,-73.9108963",,,
25 Willow Avenue,https://streeteasy.com/building/25-willow-avenue-bronx,,"40.80049896,-73.91400146",,,
38 Rose Feiss Boulevard,https://streeteasy.com/building/38-rose-feiss-boulevard-bronx,,"40.79949951,-73.91179657",,,
742 East 137th Street,https://streeteasy.com/building/742-east-137-street-bronx,,"40.80362952,-73.9125952",1920.0,2.0,2.0
743 East 136th Street,https://streeteasy.com/building/743-east-136-street-bronx,,"40.80324789,-73.91244399",1915.0,3.0,6.0
735 East 136th Street,https://streeteasy.com/building/735-east-136-street-bronx,,"40.80334688,-73.91268226",1920.0,2.0,
